,Title,Director,Cast,TMDB_id,overview,genre,actorname_1,actorname_2,actorname_3,tag_all,tag_1,tag_2
1313,Kadhalargal Valibar Sangam,Kasi Vishwanathan,"Sathya, Thamarai, Kovai Senthil",unknown,unknown,unknown,Sathya, Thamarai, Kovai Senthil,unknown unknown Kasi Vishwanathan Sathya  Thamarai  Kovai Senthil,unknown Kasi Vishwanathan Sathya  Thamarai unknown,unknown Kasi Vishwanathan Sathya  Kovai Senthil
1314,Paalkaari,Om Pulli Jeevarathinam,"Minu Kurian, Shivani Grover",527687,coming soon..,Drama Romance Thriller,Minu Kurian, Shivani Grover,unknown,coming soon.. Drama Romance Thriller Om Pulli Jeevarathinam Minu Kurian  Shivani Grover unknown,Drama Romance Thriller Om Pulli Jeevarathinam Minu Kurian  Shivani Grover coming soon..,Drama Romance Thriller Om Pulli Jeevarathinam Minu Kurian unknown
1315,Seyal,Ravi Abbulu,"Rajan Tejeshwar, Tharushi, Ramdoss, Renuka",526421,"A youngster thrashes a gangster following a minor altercation. The gangster, who suffers a loss of face, now wants revenge.",Drama Romance,Rajan Tejeshwar, Tharushi, Ramdoss,"A youngster thrashes a gangster following a minor altercation. The gangster, who suffers a loss of face, now wants revenge. Drama Romance Ravi Abbulu Rajan Tejeshwar  Tharushi  Ramdoss","Drama Romance Ravi Abbulu Rajan Tejeshwar  Tharushi A youngster thrashes a gangster following a minor altercation. The gangster, who suffers a loss of face, now wants revenge.",Drama Romance Ravi Abbulu Rajan Tejeshwar  Ramdoss
1316,Abhiyum Anuvum,B. R. Vijayalakshmi,"Tovino Thomas, Piaa Bajpai, Prabhu, Suhasini",472947,"They fell in love and swore to always be together, until a strange twist of fate reveals them to be more than just lovers. To what extent will they go to protect their love?",Drama Romance,Tovino Thomas, Piaa Bajpai, Prabhu,"They fell in love and swore to always be together, until a strange twist of fate reveals them to be more than just lovers. To what extent will they go to protect their love? Drama Romance B. R. Vijayalakshmi Tovino Thomas  Piaa Bajpai  Prabhu","Drama Romance B. R. Vijayalakshmi Tovino Thomas  Piaa Bajpai They fell in love and swore to always be together, until a strange twist of fate reveals them to be more than just lovers. To what extent will they go to protect their love?",Drama Romance B. R. Vijayalakshmi Tovino Thomas  Prabhu
1317,Oru Kuppai Kathai,Kaali Rangasamy,"Dinesh Kumar, Manisha Yadav, Sujo Mathew, Yogi Babu",526077,"Poongodi marries Kumar without knowing that he works with the corporation as a trash collector. Once she stumbles upon the truth, she shuns him and elopes with her neighbour, Arjun. Will Kumar succeed in bringing her back?",Comedy Drama,Dinesh Kumar, Manisha Yadav, Sujo Mathew,"Poongodi marries Kumar without knowing that he works with the corporation as a trash collector. Once she stumbles upon the truth, she shuns him and elopes with her neighbour, Arjun. Will Kumar succeed in bringing her back? Comedy Drama Kaali Rangasamy Dinesh Kumar  Manisha Yadav  Sujo Mathew","Comedy Drama Kaali Rangasamy Dinesh Kumar  Manisha Yadav Poongodi marries Kumar without knowing that he works with the corporation as a trash collector. Once she stumbles upon the truth, she shuns him and elopes with her neighbour, Arjun. Will Kumar succeed in bringing her back?",Comedy Drama Kaali Rangasamy Dinesh Kumar  Sujo Mathew
1318,Kaala Koothu,M. Nagarajan,"Prasanna, Kalaiyarasan, Sai Dhanshika, Srushti Dange",410611,"Two school boys become thick friends after a shared life experience. They grow up and fall in love with two young women. Just when things finally seem to be going their way, tragedy strikes.",Drama Romance Thriller,Prasanna, Kalaiyarasan, Sai Dhanshika,"Two school boys become thick friends after a shared life experience. They grow up and fall in love with two young women. Just when things finally seem to be going their way, tragedy strikes. Drama Romance Thriller M. Nagarajan Prasanna  Kalaiyarasan  Sai Dhanshika","Drama Romance Thriller M. Nagarajan Prasanna  Kalaiyarasan Two school boys become thick friends after a shared life experience. They grow up and fall in love with two young women. Just when things finally seem to be going their way, tragedy strikes.",Drama Romance Thriller M. Nagarajan Prasanna  Sai Dhanshika
1319,Pei Irukka Illaya,Pa. Ranjithkumar,"Vijayakumar, Livingston, Madhumitha",527674,Coming soon..,Comedy Horror,Vijayakumar, Livingston, Madhumitha,Coming soon.. Comedy Horror Pa. Ranjithkumar Vijayakumar  Livingston  Madhumitha,Comedy Horror Pa. Ranjithkumar Vijayakumar  Livingston Coming soon..,Comedy Horror Pa. Ranjithkumar Vijayakumar  Madhumitha
1320,Puthiya Bruce Lee,Mulaiyur A. Sonai,"Bruce, Raziya, Ashwanth Thilak",527676,"An action film directed by Mulaiyur A Sonai, starring Bruce and Raziya in the lead roles.",Drama Action,Bruce, Raziya, Ashwanth Thilak,"An action film directed by Mulaiyur A Sonai, starring Bruce and Raziya in the lead roles. Drama Action Mulaiyur A. Sonai Bruce  Raziya  Ashwanth Thilak","Drama Action Mulaiyur A. Sonai Bruce  Raziya An action film directed by Mulaiyur A Sonai, starring Bruce and Raziya in the lead roles.",Drama Action Mulaiyur A. Sonai Bruce  Ashwanth Thilak
1321,Semma,Vallikanth,"G. V. Prakash Kumar, Arthana Binu, Yogi Babu",460549,"A vegetable vendor marries a girl against her father's wish. The couple, with the help of their respective mothers, manage to hide it from the girl's father till she gives birth to a child",Action Comedy,G. V. Prakash Kumar, Arthana Binu, Yogi Babu,"A vegetable vendor marries a girl against her father's wish. The couple, with the help of their respective mothers, manage to hide it from the girl's father till she gives birth to a child Action Comedy Vallikanth G. V. Prakash Kumar  Arthana Binu  Yogi Babu","Action Comedy Vallikanth G. V. Prakash Kumar  Arthana Binu A vegetable vendor marries a girl against her father's wish. The couple, with the help of their respective mothers, manage to hide it from the girl's father till she gives birth to a child",Action Comedy Vallikanth G. V. Prakash Kumar  Yogi Babu
1322,Antony,Kutti Kumar,"Nishanth, Vaishali, Lal",527665,"A cop wakes up to find himself trapped in his car which is buried in the earth. Even as he tries to make an escape, his father and his girlfriend are trying to trace his whereabouts by going after the men who might have a reason to kidnap him.",Thriller Action,Nishanth, Vaishali, Lal,"A cop wakes up to find himself trapped in his car which is buried in the earth. Even as he tries to make an escape, his father and his girlfriend are trying to trace his whereabouts by going after the men who might have a reason to kidnap him. Thriller Action Kutti Kumar Nishanth  Vaishali  Lal","Thriller Action Kutti Kumar Nishanth  Vaishali A cop wakes up to find himself trapped in his car which is buried in the earth. Even as he tries to make an escape, his father and his girlfriend are trying to trace his whereabouts by going after the men who might have a reason to kidnap him.",Thriller Action Kutti Kumar Nishanth  Lal
1323,Mohana,Ra. Anand,"Rajendran, Power Star Srinivasan, Kalyani Nair, Asmitha",527668,Coming soon..,Comedy,Rajendran, Power Star Srinivasan, Kalyani Nair,Coming soon.. Comedy Ra. Anand Rajendran  Power Star Srinivasan  Kalyani Nair,Comedy Ra. Anand Rajendran  Power Star Srinivasan Coming soon..,Comedy Ra. Anand Rajendran  Kalyani Nair
1324,Panjumittai,S. P. Mohan,"Ma Ka Pa Anand, Nikhila Vimal, Pandiarajan",409015,A happily married man starts suspecting his friend of having an affair with his wife as he finds both of them sharing similar interests.,Romance Comedy Fantasy,Ma Ka Pa Anand, Nikhila Vimal, Pandiarajan,A happily married man starts suspecting his friend of having an affair with his wife as he finds both of them sharing similar interests. Romance Comedy Fantasy S. P. Mohan Ma Ka Pa Anand  Nikhila Vimal  Pandiarajan,Romance Comedy Fantasy S. P. Mohan Ma Ka Pa Anand  Nikhila Vimal A happily married man starts suspecting his friend of having an affair with his wife as he finds both of them sharing similar interests.,Romance Comedy Fantasy S. P. Mohan Ma Ka Pa Anand  Pandiarajan
1325,Vayakattu Mappillai,Vimal Murugan,"Vetrivel, Yogendra, Jothisha, Dayana",unknown,unknown,unknown,Vetrivel, Yogendra, Jothisha,unknown unknown Vimal Murugan Vetrivel  Yogendra  Jothisha,unknown Vimal Murugan Vetrivel  Yogendra unknown,unknown Vimal Murugan Vetrivel  Jothisha
1326,X Videos,Sajo Sundar,"Ajay Raj, Akruti Singh, Abhinav",527666,"Journalist has a new assignment, to find out public’s reaction to government’s move of shutting down porn websites. However, his assignment becomes a personal task when his friend commits suicide because an intimate video he’d shot of his wife makes it to one of the sites.",Drama Thriller,Ajay Raj, Akruti Singh, Abhinav,"Journalist has a new assignment, to find out public’s reaction to government’s move of shutting down porn websites. However, his assignment becomes a personal task when his friend commits suicide because an intimate video he’d shot of his wife makes it to one of the sites. Drama Thriller Sajo Sundar Ajay Raj  Akruti Singh  Abhinav","Drama Thriller Sajo Sundar Ajay Raj  Akruti Singh Journalist has a new assignment, to find out public’s reaction to government’s move of shutting down porn websites. However, his assignment becomes a personal task when his friend commits suicide because an intimate video he’d shot of his wife makes it to one of the sites.",Drama Thriller Sajo Sundar Ajay Raj  Abhinav
1327,Kaala,Pa. Ranjith,"Rajinikanth, Huma Qureshi, Samuthirakani, Nana Patekar",780524,"Bryan is a Nigerian teenager who is struggling to acclimatise to the new culture of India, arrives at a busy locality to meet his girlfriend. Amazed looks and nasty comments begins to discomfort Bryan. However, the very thought of seeing his new found love keeps him exhilarated. To his surprise, Rashmi playfully disagrees conforming to the date. Nevertheless, Bryan being the adamant self keeps inducing Rashmi. And in an attempt of doing so, he enters the parking lot to encounter something he wished he never did.",unknown,Rajinikanth, Huma Qureshi, Samuthirakani,"Bryan is a Nigerian teenager who is struggling to acclimatise to the new culture of India, arrives at a busy locality to meet his girlfriend. Amazed looks and nasty comments begins to discomfort Bryan. However, the very thought of seeing his new found love keeps him exhilarated. To his surprise, Rashmi playfully disagrees conforming to the date. Nevertheless, Bryan being the adamant self keeps inducing Rashmi. And in an attempt of doing so, he enters the parking lot to encounter something he wished he never did.  Pa. Ranjith Rajinikanth  Huma Qureshi  Samuthirakani","unknown Pa. Ranjith Rajinikanth  Huma Qureshi Bryan is a Nigerian teenager who is struggling to acclimatise to the new culture of India, arrives at a busy locality to meet his girlfriend. Amazed looks and nasty comments begins to discomfort Bryan. However, the very thought of seeing his new found love keeps him exhilarated. To his surprise, Rashmi playfully disagrees conforming to the date. Nevertheless, Bryan being the adamant self keeps inducing Rashmi. And in an attempt of doing so, he enters the parking lot to encounter something he wished he never did.", Pa. Ranjith Rajinikanth  Samuthirakani
1328,Goli Soda 2,Vijay Milton,"Samuthirakani, Chemban Vinod Jose, Rohini, Gautham Menon",507574,"The story revolves around the lives of three young friends, who struggle to establish themselves in the real world. They are working to make it big until they get caught up in a certain situation, only to get rescued by a common friend of 45-year-old.",Drama Action,Samuthirakani, Chemban Vinod Jose, Rohini,"The story revolves around the lives of three young friends, who struggle to establish themselves in the real world. They are working to make it big until they get caught up in a certain situation, only to get rescued by a common friend of 45-year-old. Drama Action Vijay Milton Samuthirakani  Chemban Vinod Jose  Rohini","Drama Action Vijay Milton Samuthirakani  Chemban Vinod Jose The story revolves around the lives of three young friends, who struggle to establish themselves in the real world. They are working to make it big until they get caught up in a certain situation, only to get rescued by a common friend of 45-year-old.",Drama Action Vijay Milton Samuthirakani  Rohini
